"Time","api-icesat2-prod-dask-gateway-798c9798f8-bpwcf","autohttps-6c669c845d-5ld64","controller-icesat2-prod-dask-gateway-78f86f6f6d-f4nxg","dask-scheduler-04c170d2a43845b1b3615a30e1f14ae6","dask-scheduler-3efefa2916d041728ffae1591d540734","dask-scheduler-7e1aef87ccf646febe579ab8f93a340f","dask-scheduler-9fc829ee12af4c58a86c95fe2410286a","dask-scheduler-a3413571b0054e2592d0ef35f2684b3d","dask-scheduler-a6e61215499b4a529aebd4241f14f5af","dask-worker-3efefa2916d041728ffae1591d540734-7wm8f","dask-worker-3efefa2916d041728ffae1591d540734-nvhrj","dask-worker-a3413571b0054e2592d0ef35f2684b3d-4gl4z","dask-worker-a3413571b0054e2592d0ef35f2684b3d-9ckgc","dask-worker-a3413571b0054e2592d0ef35f2684b3d-sbjdl","dask-worker-a6e61215499b4a529aebd4241f14f5af-22p2l","dask-worker-a6e61215499b4a529aebd4241f14f5af-84x5k","dask-worker-a6e61215499b4a529aebd4241f14f5af-8gxdf","dask-worker-a6e61215499b4a529aebd4241f14f5af-8hqsz","hub-5c554bb6b5-qvjnm","icesat2-prod-ingress-nginx-controller-69b6d47979-hwrr5","icesat2-prod-kube-state-metrics-75bfcfbd8c-scd9j","icesat2-prod-prometheus-op-operator-589f7c4c68-cnxx4","jupyter-ajijohn","jupyter-cspencerjones","jupyter-jbusecke","jupyter-jessicas11","jupyter-robfatland","jupyter-rsignell-2dusgs","jupyter-salvis2","jupyter-scottyhq","jupyter-tomaugspurger","proxy-5b8689767c-49wqk","traefik-icesat2-prod-dask-gateway-84bd7f7c7-97j5l","user-scheduler-dbd59d5d-25z28","user-scheduler-dbd59d5d-hk844","quota - requests","quota - limits"
2020-10-08 11:20:00,0.0009474496305199641,0.0008763164750761779,0.0010040735277488996,,,,,,,,,,,,,,,,0.006505433669220359,0.004792027913004245,0.005876470113168967,0.7490569080304544,0.0011071265264086493,,,,,,,,,0.00048485141582988513,0.0015214807359019275,0.01271453018984554,0.012232910729640188,,
2020-10-08 11:40:00,0.0010477665476521332,0.0008447315667841954,0.0010114420955245548,,,,,,,,,,,,,,,,0.006835677427543487,0.004611749256761027,0.004622050467578069,0.5687624906651904,0.0010540480682101573,,,,,,,,,0.0005072436076674486,0.0015300713682724,0.010150804048343249,0.010939975288941514,,
2020-10-08 12:00:00,0.001086054596551353,0.0008106064244225265,0.0009276427000327886,,,,,,,,,,,,,,,,0.006884497365996493,0.004826323742171869,0.00477296662902005,0.6356973829735701,0.001100253275440537,,,,,,,,,0.0004856907076644572,0.0015308995221774168,0.011101718392232863,0.011612291971167556,,
2020-10-08 12:20:00,0.0009963421670251308,0.0007606288834136061,0.0010438776943396148,,,,,,,,,,,,,,,,0.006408834783221221,0.005002304671582206,0.005568148385775849,0.7111490468851271,0.0009932515416955728,,,,,,,,,0.0005218338102252192,0.0015545046410292284,0.012483311520965299,0.012799015001191493,,
2020-10-08 12:40:00,0.0010688727090480618,0.002348205648703095,0.0010899275644720569,,,,,,,,,,,,,,,,0.006663887841257736,0.004432867158003071,0.004624956304142276,0.5349843953163134,0.011949139107480116,,,,,,,,,0.0017554646027338676,0.0015200624459674127,0.010995196542832706,0.011235375929257841,,
2020-10-08 13:00:00,0.0009907366831583193,0.0019470681667425262,0.0009436226011667225,,,,,,,,,,,,,,,,0.006900139854424859,0.00481914055566909,0.004916699208815066,0.6242470544459757,0.011082401015366275,,,,,,,,,0.001419421424585616,0.0014985523102181175,0.010820282831076205,0.011678898841351489,,
2020-10-08 13:20:00,0.0010297657552143943,0.0026207540916993247,0.0009365937137719102,,,,,,,,,,,,,,,,0.009839964098907389,0.004772023009820048,0.005813619688798995,0.7417763056405652,0.012345563508738163,,,0.0006336763504564036,,,,,,0.0021004301256094156,0.0016458461320448797,0.012894229693467735,0.012473207280108155,,
2020-10-08 13:40:00,0.0009360651769726375,0.00408468438929615,0.0010504689832463254,,,,,,,,,,,,,,,,0.009403234258938159,0.0044449991350896285,0.004671336323979883,0.5300199186030649,0.012999538313062225,,,0.009597017049193584,,,,,,0.0040687844731713925,0.0014812387131818928,0.010613271608328955,0.010572466669917877,,
2020-10-08 14:00:00,0.0009901367881740416,0.006412381116280162,0.0009506526027748567,,,,,,,,,,,,,,,,0.009157041087159503,0.0047801590301880005,0.005077079460232283,0.6387981133314032,0.01163561341507664,,,0.0023852249870715634,,,,,,0.0036635271098126062,0.001519304547222339,0.01108567003691903,0.011903679441271598,,
2020-10-08 14:20:00,0.0009981632147315264,0.0032016533218278517,0.0009722255179858721,,,,,,,,,,,,,,,,0.008020973419245713,0.00469412118182293,0.005552513593037633,0.7008006419098752,0.011700565215084429,,,0.0021865199349820784,,,,,,0.0024647254677786536,0.0016286667389974916,0.012245077328780014,0.012271322383273237,,
2020-10-08 14:40:00,0.0010430706353640677,0.0019525583253887989,0.000993266095185861,,,,,,,,,,,,,,,,0.008185427396675767,0.004846432426089148,0.004757791813692416,0.5496184636345813,0.009037307872738149,,,0.0020140365170678897,,,,,,0.001733639040882857,0.001482746417401352,0.010289099383320632,0.01112495768225327,,
2020-10-08 15:00:00,0.0010359857787794542,0.0033868076240285497,0.0009533495454803093,,,,,,,,,,,,,,,,0.007939463721587513,0.004856277664074128,0.0046139797724745165,0.5504796387272514,0.012424317471708066,,,0.027641994493777335,,,,,,0.002672181906867209,0.0015192738297809425,0.010326837137821301,0.011136546504631053,,
