"Time","api-icesat2-prod-dask-gateway-798c9798f8-bpwcf","autohttps-6c669c845d-5ld64","controller-icesat2-prod-dask-gateway-78f86f6f6d-f4nxg","dask-scheduler-04c170d2a43845b1b3615a30e1f14ae6","dask-scheduler-2d75a3c022794e0ca895c8cfbf756a87","dask-scheduler-3efefa2916d041728ffae1591d540734","dask-scheduler-410bb88f732e4680b5456aeb85881f9a","dask-scheduler-411048210dae490dbbf6f8f1c74ab77e","dask-scheduler-489fe79f6bf7448ea2c022a62751a31f","dask-scheduler-4b52a76a35694213a981d9cb3c26b6a7","dask-scheduler-7e1aef87ccf646febe579ab8f93a340f","dask-scheduler-903c313ed02a412b9d9a5e87e748c764","dask-scheduler-94d6bbff40194e83acbc39dfd404e65a","dask-scheduler-9a2687ca7a6749628e989eac65b9f0c7","dask-scheduler-9fc829ee12af4c58a86c95fe2410286a","dask-scheduler-a3413571b0054e2592d0ef35f2684b3d","dask-scheduler-a6e61215499b4a529aebd4241f14f5af","dask-scheduler-c6ed4a8e1b194f2d99f67c115af69f90","dask-scheduler-f3f5b8e5d7384f1c83d92be97c11d9fd","dask-scheduler-f54e45ba8207497bbbdc760ff77a2944","dask-scheduler-fe385ff2c7bf4465907ba269a04421b0","dask-worker-3efefa2916d041728ffae1591d540734-7wm8f","dask-worker-3efefa2916d041728ffae1591d540734-nvhrj","dask-worker-410bb88f732e4680b5456aeb85881f9a-7g8ht","dask-worker-410bb88f732e4680b5456aeb85881f9a-7x6bc","dask-worker-410bb88f732e4680b5456aeb85881f9a-9qs4c","dask-worker-410bb88f732e4680b5456aeb85881f9a-b8jq2","dask-worker-410bb88f732e4680b5456aeb85881f9a-kwhzb","dask-worker-489fe79f6bf7448ea2c022a62751a31f-bqsgr","dask-worker-489fe79f6bf7448ea2c022a62751a31f-h29dj","dask-worker-489fe79f6bf7448ea2c022a62751a31f-j9hw4","dask-worker-489fe79f6bf7448ea2c022a62751a31f-lcthl","dask-worker-489fe79f6bf7448ea2c022a62751a31f-rrqxz","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-4vttq","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-7rbpm","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-8qvb4","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-dlzt5","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-fjjvr","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-fnhfq","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-t4h7d","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-t5vf8","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-x7q82","dask-worker-4b52a76a35694213a981d9cb3c26b6a7-xdzmj","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-6fn5v","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-7xt7f","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-82swx","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-8nnw2","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-j9lxj","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-mrz42","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-nhvnj","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-t7scx","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-xkj4w","dask-worker-9a2687ca7a6749628e989eac65b9f0c7-zxhjr","dask-worker-a051656fc38d4ee18ac531d6b5cb0774-lfr8g","dask-worker-a051656fc38d4ee18ac531d6b5cb0774-lqnxl","dask-worker-a3413571b0054e2592d0ef35f2684b3d-4gl4z","dask-worker-a3413571b0054e2592d0ef35f2684b3d-9ckgc","dask-worker-a3413571b0054e2592d0ef35f2684b3d-sbjdl","dask-worker-a6e61215499b4a529aebd4241f14f5af-22p2l","dask-worker-a6e61215499b4a529aebd4241f14f5af-278k5","dask-worker-a6e61215499b4a529aebd4241f14f5af-2sjmz","dask-worker-a6e61215499b4a529aebd4241f14f5af-6j56r","dask-worker-a6e61215499b4a529aebd4241f14f5af-7nmrr","dask-worker-a6e61215499b4a529aebd4241f14f5af-84x5k","dask-worker-a6e61215499b4a529aebd4241f14f5af-8gxdf","dask-worker-a6e61215499b4a529aebd4241f14f5af-8hqsz","dask-worker-a6e61215499b4a529aebd4241f14f5af-c868l","dask-worker-a6e61215499b4a529aebd4241f14f5af-dt68n","dask-worker-a6e61215499b4a529aebd4241f14f5af-f25x4","dask-worker-a6e61215499b4a529aebd4241f14f5af-gt48z","dask-worker-a6e61215499b4a529aebd4241f14f5af-kz8k4","dask-worker-a6e61215499b4a529aebd4241f14f5af-tbkb5","dask-worker-a6e61215499b4a529aebd4241f14f5af-vlxlg","hub-5c554bb6b5-qvjnm","icesat2-prod-ingress-nginx-controller-69b6d47979-hwrr5","icesat2-prod-kube-state-metrics-75bfcfbd8c-scd9j","icesat2-prod-prometheus-op-operator-589f7c4c68-cnxx4","jupyter-ajijohn","jupyter-cspencerjones","jupyter-emiliom","jupyter-jbusecke","jupyter-jessicas11","jupyter-rsignell-2dusgs","jupyter-salvis2","jupyter-scottyhq","jupyter-tomaugspurger","proxy-5b8689767c-49wqk","traefik-icesat2-prod-dask-gateway-84bd7f7c7-97j5l","user-scheduler-dbd59d5d-25z28","user-scheduler-dbd59d5d-hk844","quota - requests","quota - limits"
2020-10-05 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 13:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 13:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 14:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 15:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 15:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 16:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 16:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 17:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 17:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 18:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 18:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 19:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 19:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
